CBO2002;TITULO;trad;Job_Zone;code;prox;title
351305;Técnico em administração;Administrative Technician;3;49-2091.00;0.7111111111111111;Avionics Technicians
351405;Escrevente;Scribe;;;;
351410;Escrivão judicial;Judicial clerk;5;23-1012.00;0.7878787878787878;Judicial Law Clerks
351415;Escrivão extra - judicial;Extrajudicial Registrar;;;;
351430;Auxiliar de serviços jurídicos;Legal Services Assistant;4;21-1093.00;0.6779661016949152;Social and Human Service Assistants
351420;Escrivão de polícia;Police clerk;2;43-5051.00;0.6666666666666666;Postal Service Clerks
351510;Taquígrafo;Stenographer;5;19-3092.00;0.782608695652174;Geographers
351610;Técnico em higiene ocupacional;Occupational Hygiene Technician;3;29-9012.00;0.7123287671232876;Occupational Health and Safety Technicians
351605;Técnico em segurança do trabalho;Work safety technician;3;25-4031.00;0.6341463414634146;Library Technicians
351605;Técnico em segurança do trabalho;Work safety technician;3;53-6041.00;0.6341463414634146;Traffic Technicians
351735;Técnico de resseguros;Reinsurance Technician;3;25-4031.00;0.6829268292682927;Library Technicians
351735;Técnico de resseguros;Reinsurance Technician;3;53-6041.00;0.6829268292682927;Traffic Technicians
351815;Papiloscopista policial;Police Papilopscopist;;;;
351810;Investigador de polícia;Police investigator;3;33-2021.02;0.7567567567567568;Fire Investigators
351805;Detetive profissional;Professional Detective;3;33-3021.01;0.6666666666666666;Police Detectives
351910;Agente técnico de inteligência;Technical intelligence agent;;;;
351905;Agente de inteligência;Intelligence agent;4;33-3021.06;0.7692307692307693;Intelligence Analysts
352210;Agente de saúde pública;Public health agent;;;;
352315;Agente fiscal metrológico;Metrological fiscal agent;;;;
352320;Agente fiscal têxtil;Textile tax agent;;;;
352420;Técnico em direitos autorais;Copywriter;4;27-3043.04;0.8181818181818182;Copy Writers
352405;Agente de direitos autorais;Copyright Agent;2;43-5011.00;0.6666666666666666;Cargo and Freight Agents
353220;Técnico de operações e serviços bancários - leasing;Operations and banking technician - leasing;;;;
353235;Chefe de serviços bancários;Head of banking services;;;;
353230;Tesoureiro de banco;Bank treasurer;;;;
353225;Técnico de operações e serviços bancários - renda fixa e variável;Operations and banking technician - fixed and variable income;;;;
353210;Técnico de operações e serviços bancários - crédito imobiliário;Operations and Banking Technician - Real Estate Credit;;;;
353205;Técnico de operações e serviços bancários - câmbio;Operations and Banking Technician - Exchange;;;;
353215;Técnico de operações e serviços bancários - crédito rural;Operations and banking technician - rural credit;;;;
354130;Promotor de vendas especializado;Specialized sales promoter;;;;
354145;Vendedor pracista;Professional seller;;;;
354150;Propagandista de produtos famacêuticos;Advertising agent of pharmaceutical products;;;;
354135;Técnico de vendas;Sales technician;3;19-4031.00;0.6666666666666666;Chemical Technicians
354140;Técnico em atendimento e vendas;Sales and service technician;3;19-4093.00;0.6984126984126984;Forest and Conservation Technicians
354205;Comprador;Buyer;;;;
354210;Supervisor de compras;Shopping supervisor;2;39-1011.00;0.7027027027027027;Gaming Supervisors
354305;Analista de exportação e importação;Import and Export Analyst;;;;
354405;Leiloeiro;Auctioneer;2;27-2011.00;0.625;Actors
354415;Avaliador de bens móveis;Mobile Property Appraiser;;;;
354605;Corretor de imóveis;Realtor;;;;
354705;Representante comercial autônomo;Freelance Commercial Representative;2;43-4051.00;0.6268656716417911;Customer Service Representatives
354820;Organizador de evento;Event Organizer;;;;
354810;Operador de turismo;Tour operator;3;43-9011.00;0.7096774193548387;Computer Operators
354825;Cerimonialista;Ceremonialist;;;;
354805;Técnico em turismo;Tourism Technician;3;53-6041.00;0.7567567567567568;Traffic Technicians
371210;Técnico em museologia;Technician in museology;;;;
371205;Colecionador de selos e moedas;Stamp and coin collector;2;43-3011.00;0.6666666666666666;Bill and Account Collectors
371310;Técnico gráfico;Graphic technician;3;53-6041.00;0.7567567567567568;Traffic Technicians
371305;Técnico em programação visual;Visual programming technician;3;17-3031.02;0.625;Mapping Technicians
371405;Recreador de acantonamento;Cantonment Reconstructor;;;;
371410;Recreador;Recreador;;;;
372110;Iluminador (televisão);Illuminator (television);;;;
373130;Técnico de sistemas audiovisuais;Audiovisual Technician;3;49-2091.00;0.7619047619047619;Avionics Technicians
373135;Operador de controle mestre;Master control operator;3;51-8092.00;0.6190476190476191;Gas Plant Operators
373145;Assistente de operações audiovisuais;Audiovisual Operations Assistant;;;;
373140;Coordenador de programação;Programming Coordinator;2;53-1021.01;0.6666666666666666;Recycling Coordinators
373230;Supervisor técnico (mídias audiovisuais);Technical Supervisor (audiovisual media);;;;
373225;Supervisor de operações (mídias audiovisuais);Operations Supervisor (audiovisual media);;;;
374110;Técnico em instalação de equipamentos de áudio;Technician in installation of audio equipment;;;;
374115;Técnico em masterização de áudio;Technician in audio mastering;;;;
374145;Dj (disc jockey);Dj (disc jockey);;;;
374140;Microfonista;Microfonista;5;19-1022.00;0.6666666666666666;Microbiologists
374135;Projetista de sistemas de áudio;Audio Systems Designer;4;15-1199.11;0.6190476190476191;Video Game Designers
374150;Sonoplasta;Sonoplast;;;;
374155;Analista musical;Musical analyst;4;13-2051.00;0.6666666666666666;Financial Analysts
374130;Técnico em mixagem de áudio;Audio Mixing Technician;3;17-3031.02;0.7142857142857143;Mapping Technicians
374205;Cenotécnico (cinema, vídeo, televisão, teatro e espetáculos);Cenotécnico (cinema, video, television, theater and shows);;;;
374215;Maquinista de teatro e espetáculos;Theater Operator and Spectacles;2;51-6042.00;0.6461538461538462;Shoe Machine Operators and Tenders
374310;Operador-mantenedor de projetor cinematográfico;Film Projector Operator-maintainer;;;;
374415;Finalizador de vídeo;Video Finisher;2;51-7021.00;0.6666666666666666;Furniture Finishers
374425;Diretor de imagens (tv);Director of images (tv);;;;
374405;Editor de mídia audiovisual;Audiovisual Media Editor;;;;
374410;Finalizador de filmes;Movie Finisher;2;51-7021.00;0.6666666666666666;Furniture Finishers
375105;Designer de interiores;Interior designer;4;27-1025.00;0.9142857142857143;Interior Designers
375110;Designer de vitrines;Designer of showcases;;;;
375120;Decorador de eventos;Event Decorator;4;27-2012.04;0.6451612903225806;Talent Directors
375115;Visual merchandiser;Visual merchandiser;;;;
376110;Dançarino popular;Popular dancer;;;;
376105;Dançarino tradicional;Traditional dancer;;;;
376240;Malabarista;Juggler;;;;
376255;Trapezista;Trapezeist;2;47-2082.00;0.625;Tapers
376250;Titeriteiro;Titeriteiro;;;;
376245;Palhaço;Clown;;;;
376215;Artista de circo (outros);Circus Artist (others);;;;
376235;Mágico;Magical;;;;
376205;Acrobata;Acrobat;;;;
376220;Contorcionista;Contortionist;;;;
376225;Domador de animais (circense);Animal saddle (circus);;;;
376230;Equilibrista;Equilibrist;;;;
376210;Artista aéreo;Aerial artist;5;19-2032.00;0.6060606060606061;Materials Scientists
376330;Mestre de cerimonias;Master of ceremonies;;;;
376320;Apresentador de programas de televisão;Television program presenter;;;;
376325;Apresentador de circo;Circus Presenter;;;;
376315;Apresentador de programas de rádio;Radio show host;;;;
376305;Apresentador de eventos;Event Presenter;;;;
376310;Apresentador de festas populares;Popular Party Presenter;;;;
377105;Atleta profissional (outras modalidades);Professional athlete (other modalities);;;;
377115;Atleta profissional de golfe;Professional golf athlete;;;;
377120;Atleta profissional de luta;Professional fighting athlete;;;;
377125;Atleta profissional de tênis;Professional tennis player;;;;
377130;Jóquei;Jockey;;;;
377135;Piloto de competição automobilística;Auto Racing Pilot;;;;
377110;Atleta profissional de futebol;Professional soccer player;;;;
377145;Pugilista;Boxer;;;;
377140;Profissional de atletismo;Professional working proficiency;;;;
377240;Árbitro de poló aquático;Water polo referee;;;;
377245;Árbitro de vôlei;Volleyball referee;;;;
377235;Árbitro de karatê;Karate referee;;;;
377230;Árbitro de judô;Judo referee;;;;
377225;Árbitro de futebol de salão;Ball Referee;;;;
377220;Árbitro de futebol;Soccer referee;;;;
377215;Árbitro de basquete;Basketball Referee;;;;
377210;Árbitro de atletismo;Athletic Referee;5;29-9091.00;0.6666666666666666;Athletic Trainers
377205;Árbitro desportivo;Sports referee;;;;
391135;Técnico de matéria-prima e material;Raw material and material technician;;;;
391130;Técnico de planejamento e programação da manutenção;Maintenance planning and scheduling technician;;;;
391120;Planejista;Planner;;;;
391110;Cronometrista;Timekeeper;;;;
391105;Cronoanalista;Cronoanalista;;;;
391115;Controlador de entrada e saída;Input and output controller;;;;
391205;Inspetor de qualidade;Quality inspector;3;33-2021.01;0.625;Fire Inspectors
391230;Técnico operacional de serviços de correios;Operational Post Office Technician;2;49-3092.00;0.6756756756756757;Recreational Vehicle Service Technicians
391225;Escolhedor de papel;Paper picker;;;;
391215;Operador de inspeção de qualidade;Quality Inspection Operator;;;;
391220;Técnico de painel de controle;Control Panel Technician;2;49-9099.01;0.6956521739130435;Geothermal Technicians
395110;Técnico de apoio em pesquisa e desenvolvimento agropecuário florestal;Support technician in forestry agricultural research and development;;;;
410105;Supervisor administrativo;Administrative supervisor;3;11-3011.00;0.7368421052631579;Administrative Services Managers
410230;Supervisor de orçamento;Budget Supervisor;2;39-1012.00;0.7272727272727273;Slot Supervisors
410225;Supervisor de crédito e cobrança;Credit and collection supervisor;3;33-1021.02;0.6075949367088608;Forest Fire Fighting and Prevention Supervisors
410220;Supervisor de controle patrimonial;Asset Control Supervisor;2;37-2021.00;0.6363636363636364;Pest Control Workers
410235;Supervisor de tesouraria;Treasury Supervisor;2;39-1011.00;0.6486486486486487;Gaming Supervisors
410210;Supervisor de câmbio;Exchange Supervisor;2;39-1011.00;0.7567567567567568;Gaming Supervisors
410205;Supervisor de almoxarifado;Warehouse Supervisor;2;39-1012.00;0.6666666666666666;Slot Supervisors
410240;Supervisor de logística;Logistics supervisor;4;11-3071.03;0.6842105263157895;Logistics Managers
410215;Supervisor de contas a pagar;Accounts Payable Supervisor;2;39-1012.00;0.6046511627906976;Slot Supervisors
411005;Auxiliar de escritório;Office Assistant;3;25-9041.00;0.7058823529411765;Teacher Assistants
411005;Auxiliar de escritório;Office Assistant;3;31-9092.00;0.7058823529411765;Medical Assistants
411010;Assistente administrativo;Administrative assistant;3;11-3011.00;0.6428571428571429;Administrative Services Managers
411015;Atendente de judiciário;Judicial clerk;5;23-1012.00;0.7878787878787878;Judicial Law Clerks
411020;Auxiliar de judiciário;Legal assistant;3;31-9091.00;0.75;Dental Assistants
411025;Auxiliar de cartório;Notary public;;;;
411030;Auxiliar de pessoal;Personal Assistant;3;31-9091.00;0.8;Dental Assistants
411035;Auxiliar de estatística;Statistical assistant;4;43-9111.00;0.9302325581395349;Statistical Assistants
411040;Auxiliar de seguros;Insurance assistant;4;41-3021.00;0.6829268292682927;Insurance Sales Agents
411050;Agente de microcrédito;Microcredit Agent;;;;
411045;Auxiliar de serviços de importação e exportação;Import and export services assistant;4;21-1093.00;0.6197183098591549;Social and Human Service Assistants
412105;Datilógrafo;Datilógrafo;;;;
412115;Operador de mensagens de telecomunicações (correios);Telecommunication messaging operator (post office);3;15-1143.01;0.6086956521739131;Telecommunications Engineering Specialists
412205;Contínuo;Continuous;;;;
413105;Analista de folha de pagamento;Payroll Analyst;3;19-4099.01;0.6666666666666666;Quality Control Analysts
413110;Auxiliar de contabilidade;Accounting Assistant;2;31-1014.00;0.7368421052631579;Nursing Assistants
413115;Auxiliar de faturamento;Billing Assistant;2;31-1014.00;0.7428571428571429;Nursing Assistants
413205;Atendente de agência;Agency Clerk;2;43-4031.03;0.6153846153846154;License Clerks
413210;Caixa de banco;Bank Box;;;;
413215;Compensador de banco;Bench Compensator;;;;
413220;Conferente de serviços bancários;Banker conference;;;;
413225;Escriturário de banco;Bank clerk;2;51-3011.00;0.625;Bakers
413230;Operador de cobrança bancária;Bank Collection Operator;3;27-4013.00;0.6153846153846154;Radio Operators
414110;Armazenista;Warehousing;;;;
414105;Almoxarife;Warehouse;;;;
414115;Balanceiro;Balanceiro;;;;
414140;Auxiliar de logistica;Logistics assistant;4;13-1081.00;0.7096774193548387;Logisticians
414125;Estoquista;Stockist;;;;
414135;Expedidor de mercadorias;Freight forwarder;2;43-5011.01;0.9142857142857143;Freight Forwarders
415130;Operador de máquina copiadora (exceto operador de gráfica rápida);Copier machine operator (except fast graphic operator);;;;
415120;Fitotecário;Property master;;;;
415115;Codificador de dados;Data encoder;2;35-3011.00;0.6363636363636364;Bartenders
415105;Arquivista de documentos;Document archivist;4;15-1199.12;0.6122448979591837;Document Management Specialists
415125;Kardexista;Kardexista;1;35-3022.01;0.6666666666666666;Baristas
415210;Operador de triagem e transbordo;Sorting and transshipment operator;1;45-4022.00;0.6229508196721312;Logging Equipment Operators
415215;Entregador de publicações;Delivery Manager;4;11-9199.07;0.6666666666666666;Security Managers
415205;Carteiro;Postman;;;;
415305;Registrador de câncer;Cancer Recorder;;;;
420110;Supervisor de cobrança;Billing Supervisor;2;39-1011.00;0.7777777777777778;Gaming Supervisors
420135;Supervisor de telemarketing e atendimento;Supervisor of telemarketing and service;;;;
420130;Supervisor de telefonistas;Telephone Operator Supervisor;2;43-2021.00;0.7916666666666666;Telephone Operators
420125;Supervisor de recepcionistas;Receptionist supervisor;2;39-1012.00;0.6153846153846154;Slot Supervisors
420120;Supervisor de entrevistadores e recenseadores;Supervisor of interviewers and enumerators;;;;
420115;Supervisor de coletadores de apostas e de jogos;Betting and gaming collector supervisor;;;;
420105;Supervisor de caixas e bilheteiros (exceto caixa de banco);Cashier and cashier supervisor (except cashier);;;;
421110;Bilheteiro de transportes coletivos;Collective transport ticket office;;;;
421105;Atendente comercial (agência postal);Commercial Accountant (post office);;;;
421115;Bilheteiro no serviço de diversões;Ticket in the amusement service;;;;
421120;Emissor de passagens;Passenger Issuer;;;;
421125;Operador de caixa;Box Operator;3;27-4013.00;0.7407407407407407;Radio Operators
421315;Localizador (cobrador);Locator (collector);;;;
421310;Cobrador interno;Internal collector;;;;
421305;Cobrador externo;External collector;;;;
422110;Recepcionista de consultório médico ou dentário;Medical or dental receptionist;3;31-9094.00;0.6909090909090909;Medical Transcriptionists
422105;Recepcionista, em geral;Receptionist in general;2;43-4171.00;0.6101694915254238;Receptionists and Information Clerks
422130;Concierge;Concierge;3;39-6012.00;0.9473684210526315;Concierges
422115;Recepcionista de seguro saúde;Health Insurance Receptionist;;;;
422120;Recepcionista de hotel;Hotel receptionist;3;31-9094.00;0.6046511627906976;Medical Transcriptionists
422125;Recepcionista de banco;Bank Receptionist;;;;
422210;Teleoperador;Telemarketer;2;41-9041.00;0.96;Telemarketers
422215;Monitor de teleatendimento;Tele-attendance monitor;;;;
422220;Operador de rádio-chamada;Radio call operator;3;27-4013.00;0.7647058823529411;Radio Operators
422205;Telefonista;Telephonist;;;;
422320;Operador de telemarketing técnico;Technical Telemarketing Operator;;;;
422310;Operador de telemarketing ativo e receptivo;Active and receptive telemarketing operator;;;;
422305;Operador de telemarketing ativo;Telemarketing Operator;2;41-9041.00;0.6857142857142857;Telemarketers
423110;Despachante de trânsito;Traffic Dispatcher;;;;
423105;Despachante documentalista;Documentary Dispatcher;;;;
424125;Escriturário  em  estatística;Statistical clerk;5;15-2041.00;0.6666666666666666;Statisticians
424105;Entrevistador censitário e de pesquisas amostrais;Census and sample interviewer;;;;
424110;Entrevistador de pesquisa de opinião e mídia;Interviewer for opinion and media research;;;;
424130;Entrevistador social;Social interviewer;;;;
424120;Entrevistador de preços;Price Interviewer;;;;
424115;Entrevistador de pesquisas de mercado;Market Research Interviewer;;;;
424210;Aplicador de provas (concurso, avaliação,exame);Applicant of tests (competition, evaluation, examination);;;;
424205;Coordenador de provas (concurso, avaliação, exame);Coordinator of tests (competition, evaluation, examination);;;;
510130;Chefe de bar;Barman;;;;
510105;Supervisor de transportes;Transportation Supervisor;4;11-3071.01;0.75;Transportation Managers
510105;Supervisor de transportes;Transportation Supervisor;4;19-3099.01;0.75;Transportation Planners
510135;Maître;Master;;;;
510120;Chefe de portaria de hotel;Hotel concierge head;;;;
510205;Supervisor de lavanderia;Laundry Supervisor;2;39-1011.00;0.7222222222222222;Gaming Supervisors
510310;Supervisor de vigilantes;Supervisor of vigilantes;;;;
510305;Supervisor de bombeiros;Fire Supervisor;2;39-1011.00;0.7272727272727273;Gaming Supervisors
511115;Taifeiro (exceto militares);Steward (except military);;;;
511110;Comissário de trem;Train commissar;;;;
511510;Condutor de turismo de pesca;Fishing Tour Driver;;;;
511505;Condutor de turismo de aventura;Adventure Tour Driver;;;;
512120;Empregado doméstico diarista;Domestic employee;;;;
513225;Cozinheiro de embarcações;Boat cook;;;;
513210;Cozinheiro do serviço doméstico;Domestic service cook;;;;
513215;Cozinheiro industrial;Industrial cook;5;19-2041.03;0.7777777777777778;Industrial Ecologists
513220;Cozinheiro de hospital;Hospital Cook;5;29-1069.03;0.64;Hospitalists
513320;Camareiro de embarcações;Boatman;;;;
513325;Guarda-roupeira de cinema;Movie wardrobe;;;;
513315;Camareiro  de hotel;Hotel waiter;;;;
513310;Camareira de televisão;Television room;;;;
513305;Camareira de teatro;Theater chambermaid;;;;
513420;Barman;Barman;;;;
513425;Copeiro;Copeiro;;;;
513430;Copeiro de hospital;Hospital waiter;5;29-1069.03;0.7407407407407407;Hospitalists
513415;Cumim;Cumim;;;;
513410;Garçom (serviços de vinhos);Waiter (wine services);;;;
513405;Garçom;Waiter;;;;
513505;Auxiliar nos serviços de alimentação;Auxiliary in food services;;;;
513605;Churrasqueiro;Barbecue grill;;;;
513610;Pizzaiolo;Pizzaiolo;;;;
513615;Sushiman;Suspension;;;;
514215;Varredor de rua;Street sweeper;;;;
514225;Trabalhador de serviços de limpeza e conservação de áreas públicas;Cleaning and conservation services worker in public areas;;;;
514230;Coletor de resíduos sólidos de serviços de saúde;Collector of solid waste of health services;;;;
514305;Limpador de vidros;Glass cleaner;;;;
514310;Auxiliar de manutenção predial;Building Maintenance Advisor;2;47-4051.00;0.6181818181818182;Highway Maintenance Workers
514315;Limpador de fachadas;Facade cleaner;;;;
514320;Faxineiro;Janitor;;;;
514325;Trabalhador da manutenção de edificações;Building Maintenance Worker;2;47-4051.00;0.7777777777777778;Highway Maintenance Workers
514330;Limpador de piscinas;Swimming pool cleaner;;;;
515140;Agente de combate às endemias;Endemic fighting agent;;;;
515105;Agente comunitário de saúde;Community health agent;4;21-1094.00;0.7391304347826086;Community Health Workers
515120;Visitador sanitário;Sanitary visitor;;;;
515125;Agente indígena de saúde;Indigenous health agent;;;;
515130;Agente indígena de saneamento;Indigenous agent of sanitation;;;;
515135;Socorrista (exceto médicos e enfermeiros);Lifeguard (except doctors and nurses);;;;
515220;Auxiliar de laboratório de imunobiológicos;Laboratory assistant for immunobiological;2;43-4121.00;0.6086956521739131;Library Assistants, Clerical
515225;Auxiliar de produção farmacêutica;Pharmaceutical Production Assistant;;;;
515215;Auxiliar de laboratório de análises clínicas;Clinical laboratory assistant;3;29-2012.00;0.6111111111111112;Medical and Clinical Laboratory Technicians
515210;Auxiliar de farmácia de manipulação;Pharmacy Assistant;5;29-1051.00;0.6896551724137931;Pharmacists
515325;Sócioeducador;Musician;;;;
515320;Conselheiro tutelar;Guardian counselor;4;13-2071.00;0.6857142857142857;Credit Counselors
515315;Monitor de dependente químico;Chemical dependent monitor;;;;
515310;Agente de ação social;Social action agent;;;;
515305;Educador social;Social educator;4;21-1091.00;0.6451612903225806;Health Educators
515330;Monitor de ressocialização prisional;Prison Resuscitation Monitor;;;;
516110;Cabeleireiro;Hair stylist;;;;
516140;Pedicure;Pedicure;;;;
516130;Maquiador de caracterização;Characterization make-up artist;;;;
516125;Maquiador;Makeup artist;;;;
516120;Manicure;Manicure;;;;
516215;Mãe social;Social mother;;;;
516205;Babá;Nanny;3;39-9011.01;0.6666666666666666;Nannies
516210;Cuidador de idosos;Caregiver of the elderly;;;;
516220;Cuidador em saúde;Health care worker;5;21-1022.00;0.7441860465116279;Healthcare Social Workers
516340;Atendente de lavanderia;Laundry Clerk;2;43-4031.01;0.64;Court Clerks
516340;Atendente de lavanderia;Laundry Clerk;2;43-4151.00;0.64;Order Clerks
516330;Tingidor de roupas;Clothes dye;;;;
516345;Auxiliar de lavanderia;Laundry Assistant;3;25-9041.00;0.6857142857142857;Teacher Assistants
516345;Auxiliar de lavanderia;Laundry Assistant;2;31-1014.00;0.6857142857142857;Nursing Assistants
516335;Conferente-expedidor de roupas (lavanderias);Conference-dispatcher of clothes (laundries);;;;
516310;Lavador de roupas  a maquina;Machine washer;;;;
516315;Lavador de artefatos de tapeçaria;Upholstery cleaner;2;51-6093.00;0.7333333333333333;Upholsterers
516320;Limpador a seco, à máquina;Dry cleaner, machine;;;;
516325;Passador de roupas em geral;General clothes raiser;;;;
516305;Lavadeiro, em geral;Laundry in general;;;;
516405;Lavador de roupas;Clothes washer;;;;
516505;Agente funerário;Funeral Director;4;27-1011.00;0.6896551724137931;Art Directors
516605;Operador de forno (serviços funerários);Oven Operator (Funeral Services);;;;
516710;Numerólogo;Numerólogo;;;;
516705;Astrólogo;Astrologer;5;19-2011.00;0.7619047619047619;Astronomers
516810;Paranormal;Paranormal;;;;
516805;Esotérico;Esoteric;;;;
517110;Bombeiro civil;Civil firefighter;3;33-2011.01;0.717948717948718;Municipal Firefighters
517105;Bombeiro de aeródromo;Airfield Firefighter;2;33-2011.02;0.717948717948718;Forest Firefighters
517115;Salva-vidas;Saves lives;4;41-9031.00;0.6153846153846154;Sales Engineers
517225;Policial legislativo;Legislative police;4;11-1031.00;0.6206896551724138;Legislators
517330;Vigilante;Vigilante;;;;
517335;Guarda portuário;Port Guard;2;33-9032.00;0.64;Security Guards
517305;Agente de proteção de aeroporto;Airport Protection Agent;;;;
517315;Agente de segurança penitenciária;Prison security officer;;;;
517320;Vigia florestal;Forestry watchtower;;;;
517420;Vigia;Watchman;;;;
517415;Porteiro de locais de diversão;Fun place concierge;;;;
517405;Porteiro (hotel);Goalkeeper (hotel);;;;
517425;Fiscal de loja;Store Attorney;;;;
517410;Porteiro de edifícios;Building Concierge;3;39-6012.00;0.6428571428571429;Concierges
519115;Mototaxista;Mototaxista;;;;
519105;Ciclista mensageiro;Messenger cyclist;;;;
519215;Operador de prensa de material reciclável;Recyclable press operator;;;;
519210;Selecionador de material reciclável;Recyclable Material Picker;2;53-7081.00;0.6567164179104478;Refuse and Recyclable Material Collectors
519315;Banhista de animais domésticos;Bather of domestic animals;;;;
519320;Tosador de animais domésticos;Household clippers;;;;
519310;Esteticista de animais domésticos;Pet Beautician;;;;
519305;Auxiliar de veterinário;Veterinary Assistant;5;29-1131.00;0.7272727272727273;Veterinarians
519935;Lavador de veículos;Vehicle washer;;;;
519945;Recepcionista de casas de espetáculos;Entertainment Receptionist;;;;
519905;Cartazeiro;Cartel;;;;
519910;Controlador de pragas;Pest Controller;2;37-2021.00;0.8;Pest Control Workers
519915;Engraxate;Get ready;;;;
519925;Guardador de veículos;Vehicle keeper;;;;
519930;Lavador de garrafas, vidros e outros utensílios;Bottle, glass and other utensils washer;;;;
520110;Supervisor de vendas comercial;Commercial Sales Supervisor;3;49-9092.00;0.6363636363636364;Commercial Divers
520105;Supervisor de vendas de serviços;Supervisor of sales of services;;;;
521115;Promotor de vendas;Sales promoter;;;;
521135;Frentista;Attendant;3;53-2031.00;0.6923076923076923;Flight Attendants
521130;Atendente de farmácia - balconista;Pharmacy clerk - clerk;;;;
521125;Repositor de mercadorias;Restocker;;;;
521140;Atendente de lojas e mercados;Store and market attendant;;;;
521105;Vendedor em comércio atacadista;Supplier in wholesale trade;;;;
521110;Vendedor de comércio varejista;Retail Trade Salesperson;2;41-2031.00;0.8372093023255814;Retail Salespersons
521120;Demonstrador de mercadorias;Goods Demonstrator;;;;
523115;Chaveiro;Locksmith;;;;
523105;Instalador de cortinas e persianas, portas sanfonadas e boxe;Installer of curtains and blinds, folding doors and boxing;;;;
523110;Instalador de som e acessórios de veículos;Vehicle sound and accessory installer;;;;
524215;Vendedor  permissionário;Authorization seller;;;;
524205;Feirante;Marketer;2;41-9041.00;0.6666666666666666;Telemarketers
524315;Baiana de acarajé;Bahia de Acarajé;;;;
524310;Pipoqueiro ambulante;Walking chopper;;;;
611005;Produtor agropecuário, em geral;Agricultural producer, in general;;;;
612005;Produtor agrícola polivalente;Multi-purpose agricultural producer;;;;
612120;Produtor de gramíneas forrageiras;Forage grass producer;;;;
612115;Produtor de cereais de inverno;Producer of winter cereals;;;;
612105;Produtor de arroz;Rice Producer;4;27-2012.01;0.7272727272727273;Producers
612110;Produtor de cana-de-açúcar;Sugar Cane Producer;;;;
612125;Produtor de milho e sorgo;Corn and sorghum grower;;;;
612210;Produtor de curauá;Producer of curauá;;;;
612215;Produtor de juta;Jute Producer;4;27-2012.01;0.7272727272727273;Producers
612220;Produtor de rami;Producer of rami;4;27-2012.01;0.64;Producers
612225;Produtor de sisal;Producer of sisal;4;27-2012.01;0.6923076923076923;Producers
612205;Produtor de algodão;Cotton Producer;4;27-2012.01;0.6666666666666666;Producers
612315;Produtor na olericultura de talos, folhas e flores;Producer in the olericultura of stems, leaves and flowers;;;;
612320;Produtor na olericultura de frutos e sementes;Producer in olericultura of fruits and seeds;;;;
612310;Produtor na olericultura de raízes, bulbos e tubérculos;Producer in the olericultura of roots, bulbs and tubers;;;;
612305;Produtor na olericultura de legumes;Producer in the olericultura of vegetables;;;;
612415;Produtor de forrações;Building Construction;;;;
612405;Produtor de flores de corte;Cut Flowers Producer;;;;
612410;Produtor de flores em vaso;Flower Pot Producer;;;;
612420;Produtor de plantas ornamentais;Ornamental Plant Producer;;;;
612510;Produtor de espécies frutíferas rasteiras;Growing species of fruit trees;;;;
612505;Produtor de árvores frutíferas;Producer of fruit trees;;;;
612515;Produtor de espécies frutíferas trepadeiras;Producer of climbing fruit species;;;;
612620;Produtor de fumo;Smoke maker;3;47-2011.00;0.6086956521739131;Boilermakers
612625;Produtor de guaraná;Producer of guarana;;;;
612610;Produtor de cacau;Cocoa Producer;4;27-2012.01;0.6956521739130435;Producers
612615;Produtor de erva-mate;Yerba Mate Producer;;;;
612605;Cafeicultor;Coffee grower;;;;
612730;Produtor da cultura de linho;Growing of flax;;;;
612725;Produtor da cultura de girassol;Sunflower Grower;;;;
612705;Produtor da cultura de amendoim;Peanut grower;;;;
612710;Produtor da cultura de canola;Producer of the canola crop;;;;
612715;Produtor da cultura de coco-da-baia;Coco coconut grower;;;;
612720;Produtor da cultura de dendê;Palm oil producer;4;27-2012.01;0.6153846153846154;Producers
612735;Produtor da cultura de mamona;Producer of the castor bean crop;;;;
612740;Produtor da cultura de soja;Grower of soybean;;;;
612810;Produtor de plantas aromáticas e medicinais;Producer of aromatic and medicinal plants;;;;
612805;Produtor de especiarias;Producer of spices;4;27-2012.01;0.6666666666666666;Producers
613010;Criador de animais domésticos;Breeder of domestic animals;;;;
613005;Criador em pecuária polivalente;Creator in multipurpose livestock;;;;
613105;Criador de asininos e muares;Asinine and mule breeder;;;;
613130;Criador de eqüínos;Creator of equines;;;;
613125;Criador de bubalinos (leite);Creator of buffaloes (milk);;;;
613120;Criador de bubalinos (corte);Creator of buffaloes (cut);;;;
613115;Criador de bovinos (leite);Breeder of cattle (milk);;;;
613110;Criador de bovinos (corte);Breeder of cattle (cut);;;;
613205;Criador de caprinos;Goat breeder;;;;
613215;Criador de suínos;Breeder of pigs;;;;
613210;Criador de ovinos;Sheep farmer;;;;
613310;Cunicultor;Cunicultor;;;;
613305;Avicultor;Avicultor;2;27-2011.00;0.6666666666666666;Actors
613415;Minhocultor;Minhocultor;;;;
613410;Criador de animais produtores de veneno;Creator of animals producing poison;;;;
613405;Apicultor;Beekeeper;;;;
613420;Sericultor;Sericultor;;;;
620105;Supervisor de exploração agrícola;Farm Supervisor;2;39-1011.00;0.7878787878787878;Gaming Supervisors
620110;Supervisor de exploração agropecuária;Agricultural Supervisor;2;45-2011.00;0.7391304347826086;Agricultural Inspectors
